Station,Latitude,Longitude,Depth,Temperature,Salinity,Nitrate,Iron,Pressure,Ratio,Density
Station 11,30.8191,299.22021,1.0,24.565,36.584,,,1.0,,24.65477587558121
Station 11,30.8191,299.22021,2.0,,,,,2.0,,
Station 11,30.8191,299.22021,59.1,24.669,36.654999,0.0,,59.5,,24.67607058042904
Station 11,30.8191,299.22021,60.1,24.646,36.640999,0.0,,60.5,,24.67264561317552
Station 11,30.8191,299.22021,60.1,24.646,36.640999,0.0,0.692683,60.5,2.326357903151328,24.67264561317552
Station 11,30.8191,299.22021,91.2,21.109,36.803001,0.01,0.220488,91.9,46.82913904850295,25.821858586171174
Station 11,30.8191,299.22021,91.2,21.109,36.803001,0.0,,91.9,,25.821858586171174
Station 11,30.8191,299.22021,92.8,21.12,36.805,0.01,,93.5,,25.82031826334196
Station 11,30.8191,299.22021,134.4,19.501,36.702999,1.29,,135.4,,26.18040254172365
Station 11,30.8191,299.22021,135.8,19.334,36.688,0.01,,136.8,,26.21287762698921
Station 11,30.8191,299.22021,135.8,19.334,36.688,0.01,0.251707,136.8,60.5106424760308,26.21287762698921
Station 11,30.8191,299.22021,182.6,18.568,36.620998,3.07,0.28878,183.9,56.44019641249393,26.360055011753047
Station 11,30.8191,299.22021,182.6,18.568,36.620998,3.1,,183.9,,26.360055011753047
Station 11,30.8191,299.22021,185.7,18.605,36.625,2.96,,187.1,,26.35365074528113
Station 11,30.8191,299.22021,236.7,18.287,36.59,3.67,,238.5,,26.40793166173853
Station 11,30.8191,299.22021,237.7,18.275,36.589001,3.65,0.330732,239.5,50.30730390556134,26.41020477276811
Station 11,30.8191,299.22021,237.7,18.275,36.589001,3.65,,239.5,,26.41020477276811
Station 11,30.8191,299.22021,285.6,18.093,36.573002,3.78,0.342439,287.8,48.05321239695246,26.44388597744046
Station 11,30.8191,299.22021,285.6,18.093,36.573002,3.79,,287.8,,26.44388597744046
Station 11,30.8191,299.22021,286.9,18.086,36.575001,3.77,,289.1,,26.447157656096124
Station 11,30.8191,299.22021,345.0,17.846,36.534,4.24,,347.7,,26.47598641735931
Station 11,30.8191,299.22021,350.7,17.827,36.528999,4.4,,353.4,,26.476914414433168
