Cruise,Station,Type,yyyy-mm-ddThh:mm:ss.sss,Longitude [degrees_east],Latitude [degrees_north],Bot. Depth [m],BODC Station,Operator's Cruise Name,Cruise Report,Project Name,Ship Name,Period,Chief Scientist,GEOTRACES Scientist,PRESSURE [dbar],QV:IODE,DEPTH [m],QV:IODE,CTDTMP [deg C],QV:IODE,CTDSAL,QV:IODE,SALINITY_D_CONC_BOTTLE,QV:IODE,SALINITY_D_CONC_PUMP,QV:IODE,SALINITY_D_CONC_FISH,QV:IODE,SALINITY_D_CONC_UWAY,QV:IODE,NITRATE_D_CONC_BOTTLE [umol/kg],STANDARD_DEV,QV:IODE,NITRATE_D_CONC_PUMP [umol/kg],QV:IODE,NITRATE_D_CONC_FISH [umol/kg],QV:IODE,NITRATE_D_CONC_UWAY [umol/kg],QV:IODE,NITRATE_LL_D_CONC_BOTTLE [umol/kg],QV:IODE,NITRATE_LL_D_CONC_FISH [umol/kg],QV:IODE,NO2+NO3_D_CONC_BOTTLE [umol/kg],QV:IODE,NO2+NO3_D_CONC_FISH [umol/kg],QV:IODE,Fe_D_CONC_BOTTLE [nmol/kg],STANDARD_DEV,QV:IODE,Fe_D_CONC_FISH [nmol/kg],STANDARD_DEV,QV:IODE,Fe_II_D_CONC_BOTTLE [nmol/kg],QV:IODE,Fe_II_D_CONC_FISH [nmol/kg],QV:IODE,Fe_S_CONC_BOTTLE [nmol/kg],STANDARD_DEV,QV:IODE,Fe_S_CONC_FISH [nmol/kg],STANDARD_DEV,QV:IODE,QV:ODV:SAMPLE
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,0.7,2,0.7,2,24.3,1,36.015999,1,36.02,1,,9,,9,,9,,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,,,9,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,27.9,2,27.7,2,25.199,1,36.061001,1,36.07,1,,9,,9,,9,0,,1,,9,,9,,9,0.07961,1,,9,,9,,9,,,9,,,9,,9,,9,,,9,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,27.9,2,27.7,2,25.199,1,36.061001,1,36.068001,1,,9,,9,,9,0,,1,,9,,9,,9,,9,,9,,9,,9,0.550732,,1,,,9,,9,,9,0.124,0.003,1,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,28.2,2,28,2,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,,,9,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,28.6,2,28.4,2,24.514,1,36.166,1,36.164001,1,,9,,9,,9,0,,1,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,,,9,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,28.8,2,28.6,2,24.341,1,36.027,1,36.02,1,,9,,9,,9,0.06,,1,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,,,9,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,45.8,2,45.4,2,24.565,1,36.213001,1,36.230999,1,,9,,9,,9,0.25,,1,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,,,9,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,61.1,2,60.6,2,24.271,1,36.308998,1,36.313999,1,,9,,9,,9,0.08,,1,,9,,9,,9,0.166146,1,,9,,9,,9,,,9,,,9,,9,,9,,,9,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,61.1,2,60.6,2,24.271,1,36.308998,1,36.313,1,,9,,9,,9,0.09,,1,,9,,9,,9,,9,,9,,9,,9,0.536098,,1,,,9,,9,,9,0.12,0.004,1,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,61.5,2,61,2,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,,,9,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,61.7,2,61.2,2,24.153,1,36.339001,1,36.341999,1,,9,,9,,9,0.09,,1,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,,,9,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,62.2,2,61.7,2,24.596,1,36.437,1,36.431999,1,,9,,9,,9,1.17,,1,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,,,9,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,84,2,83.3,2,23.596,1,36.479,1,36.455002,3,,9,,9,,9,0.13,,1,,9,,9,,9,0.209951,1,,9,,9,,9,,,9,,,9,,9,,9,,,9,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,84,2,83.3,2,23.596,1,36.479,1,36.456001,3,,9,,9,,9,0.12,,1,,9,,9,,9,,9,,9,,9,,9,0.492683,,1,,,9,,9,,9,0.092,0.008,1,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,85.7,2,85,2,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,,,9,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,86.2,2,85.5,2,21.813,1,36.533001,1,36.498001,3,,9,,9,,9,3.92,,1,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,,,9,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,87.1,2,86.4,2,23.587,1,36.679001,1,36.665001,1,,9,,9,,9,2.28,,1,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,,,9,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,109.7,2,108.8,2,21.66,1,36.749001,1,36.764,1,,9,,9,,9,4.72,,1,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,,,9,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,112.5,2,111.6,2,21.387,1,36.830002,1,36.818001,1,,9,,9,,9,4.87,,1,,9,,9,,9,0.984,3,,9,,9,,9,,,9,,,9,,9,,9,,,9,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,112.5,2,111.6,2,21.387,1,36.830002,1,36.816002,1,,9,,9,,9,4.82,,1,,9,,9,,9,,9,,9,,9,,9,0.514634,,1,,,9,,9,,9,0.194,0.015,1,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,113,2,112.1,2,20.569,1,36.721001,1,36.723,1,,9,,9,,9,6.13,,1,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,,,9,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,136.1,2,135,2,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,,,9,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,136.7,2,135.6,2,20.289,1,36.762001,1,36.759998,1,,9,,9,,9,4.71,,1,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,,,9,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,136.8,2,135.7,2,19.585,1,36.701,1,36.702,1,,9,,9,,9,3.47,,1,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,,,9,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,138.3,2,137.2,2,19.954,1,36.722,1,36.730999,1,,9,,9,,9,5.57,,1,,9,,9,,9,,9,,9,,9,,9,0.541341,,1,,,9,,9,,9,0.134,0.006,1,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,138.3,2,137.2,2,19.954,1,36.722,1,36.73,1,,9,,9,,9,5.57,,1,,9,,9,,9,0.98478,3,,9,,9,,9,,,9,,,9,,9,,9,,,9,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,151.2,2,150,2,19.181,1,36.660999,1,36.661999,1,,9,,9,,9,4.04,,1,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,,,9,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,182.5,2,181,2,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,,,9,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,186.9,2,185.4,2,18.573,1,36.605,1,36.605999,1,,9,,9,,9,4.02,,1,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,,,9,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,188,2,186.5,2,18.946,1,36.641998,1,36.640999,1,,9,,9,,9,3.63,,1,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,,,9,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,188.8,2,187.3,2,18.693,1,36.634998,1,36.636002,1,,9,,9,,9,2.93,,1,,9,,9,,9,,9,,9,,9,,9,0.388659,,1,,,9,,9,,9,0.111,0.003,1,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,188.8,2,187.3,2,18.693,1,36.634998,1,36.636002,1,,9,,9,,9,2.91,,1,,9,,9,,9,0.983317,3,,9,,9,,9,,,9,,,9,,9,,9,,,9,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,229.9,2,228,2,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,,,9,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,233.1,2,231.2,2,17.988,1,36.518002,1,36.521,1,,9,,9,,9,5.52,,1,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,,,9,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,236.6,2,234.7,2,18.224,1,36.563999,1,36.564999,1,,9,,9,,9,4.52,,1,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,,,9,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,239.2,2,237.3,2,18.177,1,36.591,1,36.59,1,,9,,9,,9,3.51,,1,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,,,9,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,239.2,2,237.3,2,18.177,1,36.591,1,36.591,1,,9,,9,,9,3.52,,1,,9,,9,,9,,9,,9,,9,,9,0.390244,,1,,,9,,9,,9,0.087,0.006,1,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,290.3,2,287.9,2,17.842,1,36.540001,1,36.543999,1,,9,,9,,9,4.13,,1,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,,,9,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,290.3,2,287.9,2,17.842,1,36.540001,1,36.544998,1,,9,,9,,9,4.13,,1,,9,,9,,9,,9,,9,,9,,9,0.315732,,1,,,9,,9,,9,0.106,0.004,1,,,9,1
GA03,Station 3,B,2011-11-11T00:07:01,290.88422,38.6683,,1701374,KN204-1,Knorr_KN204-1.pdf,GT11 - 316N20111106,R/V Knorr,Nov - Dec 2011,Edward Boyle,Edward Boyle,290.7,2,288.3,2,17.373,1,36.423,1,36.428001,1,,9,,9,,9,6.53,,1,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,,,9,,,9,1
