Cruise,Station,Type,yyyy-mm-ddThh:mm:ss.sss,Longitude [degrees_east],Latitude [degrees_north],Bot. Depth [m],BODC Station,Operator's Cruise Name,Cruise Report,Project Name,Ship Name,Period,Chief Scientist,GEOTRACES Scientist,PRESSURE [dbar],QV:IODE,DEPTH [m],QV:IODE,CTDTMP [deg C],QV:IODE,CTDSAL,QV:IODE,SALINITY_D_CONC_BOTTLE,QV:IODE,SALINITY_D_CONC_PUMP,QV:IODE,SALINITY_D_CONC_FISH,QV:IODE,SALINITY_D_CONC_UWAY,QV:IODE,PHOSPHATE_D_CONC_BOTTLE [umol/kg],QV:IODE,PHOSPHATE_D_CONC_PUMP [umol/kg],QV:IODE,PHOSPHATE_D_CONC_FISH [umol/kg],QV:IODE,PHOSPHATE_D_CONC_UWAY [umol/kg],QV:IODE,SILICATE_D_CONC_BOTTLE [umol/kg],STANDARD_DEV,QV:IODE,SILICATE_D_CONC_PUMP [umol/kg],QV:IODE,SILICATE_D_CONC_FISH [umol/kg],QV:IODE,SILICATE_D_CONC_UWAY [umol/kg],QV:IODE,NITRATE_D_CONC_BOTTLE [umol/kg],STANDARD_DEV,QV:IODE,NITRATE_D_CONC_PUMP [umol/kg],QV:IODE,NITRATE_D_CONC_FISH [umol/kg],QV:IODE,NITRATE_D_CONC_UWAY [umol/kg],QV:IODE,NO2+NO3_D_CONC_BOTTLE [umol/kg],QV:IODE,NO2+NO3_D_CONC_FISH [umol/kg],QV:IODE,Fe_D_CONC_BOTTLE [nmol/kg],STANDARD_DEV,QV:IODE,Fe_D_CONC_FISH [nmol/kg],QV:IODE,Fe_II_D_CONC_BOTTLE [nmol/kg],QV:IODE,Fe_II_D_CONC_FISH [nmol/kg],QV:IODE,Fe_S_CONC_BOTTLE [nmol/kg],STANDARD_DEV,QV:IODE,Fe_S_CONC_FISH [nmol/kg],QV:IODE,QV:ODV:SAMPLE
GIPY04,0,B,2008-02-13T18:19:59,17.226,-33.978,1840,1642840,MD166,MarionDufresne_166.pdf,Bonus Good Hope,R/V Marion Dufresne,Feb - Mar 2008,Sabrina Speich,Marie Boye,2.3,2,2.3,2,19.956,1,35.324001,1,35.325001,1,,9,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,1
GIPY04,0,B,2008-02-13T18:19:59,17.226,-33.978,1840,1642840,MD166,MarionDufresne_166.pdf,Bonus Good Hope,R/V Marion Dufresne,Feb - Mar 2008,Sabrina Speich,Marie Boye,50.2,2,49.8,2,14.862,1,35.284,1,35.283001,1,,9,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,1
GIPY04,0,B,2008-02-13T18:19:59,17.226,-33.978,1840,1642840,MD166,MarionDufresne_166.pdf,Bonus Good Hope,R/V Marion Dufresne,Feb - Mar 2008,Sabrina Speich,Marie Boye,99.2,2,98.5,2,12.415,1,34.987999,1,34.986,1,,9,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,1
GIPY04,0,B,2008-02-13T18:19:59,17.226,-33.978,1840,1642840,MD166,MarionDufresne_166.pdf,Bonus Good Hope,R/V Marion Dufresne,Feb - Mar 2008,Sabrina Speich,Marie Boye,148.6,2,147.5,2,11.452,1,34.936001,1,34.936001,1,,9,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,1
GIPY04,0,B,2008-02-13T18:19:59,17.226,-33.978,1840,1642840,MD166,MarionDufresne_166.pdf,Bonus Good Hope,R/V Marion Dufresne,Feb - Mar 2008,Sabrina Speich,Marie Boye,198.8,2,197.3,2,10.702,1,34.897999,1,34.891998,3,,9,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,1
GIPY04,0,B,2008-02-13T18:19:59,17.226,-33.978,1840,1642840,MD166,MarionDufresne_166.pdf,Bonus Good Hope,R/V Marion Dufresne,Feb - Mar 2008,Sabrina Speich,Marie Boye,399.8,2,396.6,2,7.701,1,34.570999,1,34.57,1,,9,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,1
GIPY04,0,B,2008-02-13T18:19:59,17.226,-33.978,1840,1642840,MD166,MarionDufresne_166.pdf,Bonus Good Hope,R/V Marion Dufresne,Feb - Mar 2008,Sabrina Speich,Marie Boye,598.5,2,593.4,2,5.071,1,34.396,1,34.396999,1,,9,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,1
GIPY04,0,B,2008-02-13T18:19:59,17.226,-33.978,1840,1642840,MD166,MarionDufresne_166.pdf,Bonus Good Hope,R/V Marion Dufresne,Feb - Mar 2008,Sabrina Speich,Marie Boye,802.4,2,795.1,2,3.92,1,34.429001,1,34.428001,1,,9,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,1
GIPY04,0,B,2008-02-13T18:19:59,17.226,-33.978,1840,1642840,MD166,MarionDufresne_166.pdf,Bonus Good Hope,R/V Marion Dufresne,Feb - Mar 2008,Sabrina Speich,Marie Boye,1002.1,2,992.6,2,3.264,1,34.508999,1,34.511002,1,,9,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,1
GIPY04,0,B,2008-02-13T18:19:59,17.226,-33.978,1840,1642840,MD166,MarionDufresne_166.pdf,Bonus Good Hope,R/V Marion Dufresne,Feb - Mar 2008,Sabrina Speich,Marie Boye,1251.8,2,1239.1,2,2.913,1,34.625999,1,34.624001,1,,9,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,1
