Station,Latitude,Longitude,Depth,Temperature,Salinity,Nitrate,Iron,Pressure,Ratio,Density
18 (Super 1),-36.5085,13.1163,2.8,21.166,35.563,0.0,,2.8,,24.873768867869103
18 (Super 1),-36.5085,13.1163,3.1,20.9,35.598,0.0,,3.1,,24.97282486149288
18 (Super 1),-36.5085,13.1163,3.2,20.728,35.575001,0.0,,3.2,,25.00224262483289
18 (Super 1),-36.5085,13.1163,3.3,20.9,35.598,,,3.3,,24.972824844010574
18 (Super 1),-36.5085,13.1163,3.3,20.907,35.597,,,3.3,,24.97016569648963
18 (Super 1),-36.5085,13.1163,3.4,20.905,35.597,,,3.4,,24.97071054885805
18 (Super 1),-36.5085,13.1163,3.6,20.907,35.598,,,3.6,,24.970917933913597
18 (Super 1),-36.5085,13.1163,4.2,21.178,35.571999,0.0,,4.2,,24.87723864144641
18 (Super 1),-36.5085,13.1163,6.9,20.904,35.597,0.0,,7.0,,24.970982652354678
18 (Super 1),-36.5085,13.1163,7.0,20.905,35.597,,,7.1,,24.970710225448784
18 (Super 1),-36.5085,13.1163,13.7,20.856,35.603001,,,13.8,,24.988562552146732
18 (Super 1),-36.5085,13.1163,13.7,20.862,35.603001,,,13.8,,24.986930223989702
18 (Super 1),-36.5085,13.1163,13.8,20.865,35.602001,,,13.9,,24.985361565921494
18 (Super 1),-36.5085,13.1163,14.2,20.855,35.604,0.0,,14.3,,24.989586044673615
18 (Super 1),-36.5085,13.1163,19.3,20.754,35.556999,,,19.4,,24.98164475598378
18 (Super 1),-36.5085,13.1163,19.5,20.479,35.583,0.0,,19.6,,25.075463548585276
18 (Super 1),-36.5085,13.1163,20.0,,,0.0,0.683415,20.1,5.780867920663139,
18 (Super 1),-36.5085,13.1163,24.6,20.068,35.562,,,24.8,,25.169446412964817
18 (Super 1),-36.5085,13.1163,28.9,20.32,35.580002,,,29.1,,25.115884995347642
18 (Super 1),-36.5085,13.1163,29.2,19.569,35.449001,,,29.4,,25.215525420746644
18 (Super 1),-36.5085,13.1163,29.3,19.58,35.448002,,,29.5,,25.211900632478773
18 (Super 1),-36.5085,13.1163,30.0,,,,0.702829,30.2,6.240125702969438,
18 (Super 1),-36.5085,13.1163,31.0,,,,0.17561,31.2,23.518486988212516,
18 (Super 1),-36.5085,13.1163,39.2,19.366,35.500999,0.0,,39.5,,25.307614765881908
18 (Super 1),-36.5085,13.1163,39.3,20.563,35.570999,,,39.6,,25.043859035365585
18 (Super 1),-36.5085,13.1163,39.7,20.548,35.57,0.0,,40.0,,25.047149103897254
18 (Super 1),-36.5085,13.1163,40.0,,,0.0,,40.3,,
18 (Super 1),-36.5085,13.1163,49.6,19.655,35.591999,,,50.0,,25.301007634880307
18 (Super 1),-36.5085,13.1163,50.0,,,,,50.4,,
18 (Super 1),-36.5085,13.1163,51.0,,,,0.302439,51.4,18.550286367907344,
18 (Super 1),-36.5085,13.1163,52.9,18.269,35.442001,,,53.3,,25.54226323682292
18 (Super 1),-36.5085,13.1163,53.0,18.271,35.442001,,,53.4,,25.54176373054611
18 (Super 1),-36.5085,13.1163,53.0,18.263,35.442001,0.0,,53.4,,25.54376208390454
18 (Super 1),-36.5085,13.1163,53.1,18.262,35.443001,,,53.5,,25.544769843494578
18 (Super 1),-36.5085,13.1163,53.2,18.263,35.443001,,,53.6,,25.544520220056256
18 (Super 1),-36.5085,13.1163,58.9,18.646,35.518002,,,59.3,,25.505014701981736
18 (Super 1),-36.5085,13.1163,69.7,16.02,35.327999,4.126829,,70.2,,25.99496322186633
18 (Super 1),-36.5085,13.1163,70.0,,,4.126829,,70.5,,
18 (Super 1),-36.5085,13.1163,74.2,18.366,35.508999,,,74.8,,25.568780657690922
18 (Super 1),-36.5085,13.1163,75.0,,,,,75.6,,
18 (Super 1),-36.5085,13.1163,75.4,15.954,35.316002,6.409756,,76.0,,26.00095701523537
18 (Super 1),-36.5085,13.1163,78.6,15.629,34.962002,,,79.2,,25.804562074771866
18 (Super 1),-36.5085,13.1163,98.2,14.696,35.264,8.009756,,99.0,,26.24209401844223
18 (Super 1),-36.5085,13.1163,98.6,14.241,34.896,4.419512,,99.4,,26.057819257655638
18 (Super 1),-36.5085,13.1163,99.5,14.121,34.887001,,,100.3,,26.07632847362447
18 (Super 1),-36.5085,13.1163,100.0,,,,0.795512,100.8,12.52691557973565,
18 (Super 1),-36.5085,13.1163,102.0,,,,0.243902,102.8,40.85785137746581,
18 (Super 1),-36.5085,13.1163,123.0,15.249,35.344002,,,123.9,,26.181620078888045
18 (Super 1),-36.5085,13.1163,125.0,,,,,126.0,,
18 (Super 1),-36.5085,13.1163,148.1,14.406,35.294998,,,149.2,,26.32854618402257
18 (Super 1),-36.5085,13.1163,148.7,14.691,35.358002,,,149.9,,26.31520139265649
18 (Super 1),-36.5085,13.1163,149.8,12.779,35.049,7.921951,,151.0,,26.476073618301598
18 (Super 1),-36.5085,13.1163,172.8,12.641,35.037998,8.27317,,174.2,,26.49494696299189
18 (Super 1),-36.5085,13.1163,172.9,13.86,35.23,,,174.3,,26.394544528449387
18 (Super 1),-36.5085,13.1163,175.0,,,,,176.4,,
18 (Super 1),-36.5085,13.1163,178.5,13.701,35.202,4.673171,,179.9,,26.406236248384175
18 (Super 1),-36.5085,13.1163,197.8,13.245,35.132,7.551219,,199.4,,26.446250933543524
18 (Super 1),-36.5085,13.1163,198.8,12.612,35.056999,,,200.4,,26.51533065374815
18 (Super 1),-36.5085,13.1163,199.0,12.622,35.060001,,,200.6,,26.515672081851335
18 (Super 1),-36.5085,13.1163,200.0,,,11.473171,0.35561,201.6,39.83124813700402,
18 (Super 1),-36.5085,13.1163,203.0,,,,0.282927,204.6,50.06376256066052,
18 (Super 1),-36.5085,13.1163,218.5,12.832,35.071999,,,220.2,,26.483259679918092
18 (Super 1),-36.5085,13.1163,246.3,11.731,34.993999,11.746342,,248.3,,26.636627014034502
