Cruise,Station,Type,yyyy-mm-ddThh:mm:ss.sss,Longitude [degrees_east],Latitude [degrees_north],Bot. Depth [m],BODC Station,Operator's Cruise Name,Cruise Report,Project Name,Ship Name,Period,Chief Scientist,GEOTRACES Scientist,PRESSURE [dbar],QV:IODE,DEPTH [m],QV:IODE,CTDTMP [deg C],QV:IODE,CTDSAL,QV:IODE,SALINITY_D_CONC_BOTTLE,QV:IODE,SALINITY_D_CONC_PUMP,QV:IODE,SALINITY_D_CONC_FISH,QV:IODE,SALINITY_D_CONC_UWAY,QV:IODE,NITRATE_D_CONC_BOTTLE [umol/kg],STANDARD_DEV,QV:IODE,NITRATE_D_CONC_PUMP [umol/kg],QV:IODE,NITRATE_D_CONC_FISH [umol/kg],QV:IODE,NITRATE_D_CONC_UWAY [umol/kg],QV:IODE,NITRATE_LL_D_CONC_BOTTLE [umol/kg],QV:IODE,NITRATE_LL_D_CONC_FISH [umol/kg],QV:IODE,NO2+NO3_D_CONC_BOTTLE [umol/kg],QV:IODE,NO2+NO3_D_CONC_FISH [umol/kg],QV:IODE,Fe_D_CONC_BOTTLE [nmol/kg],STANDARD_DEV,QV:IODE,Fe_D_CONC_FISH [nmol/kg],STANDARD_DEV,QV:IODE,Fe_II_D_CONC_BOTTLE [nmol/kg],QV:IODE,Fe_II_D_CONC_FISH [nmol/kg],QV:IODE,Fe_S_CONC_BOTTLE [nmol/kg],STANDARD_DEV,QV:IODE,Fe_S_CONC_FISH [nmol/kg],STANDARD_DEV,QV:IODE,QV:ODV:SAMPLE
GIPY05,PS71/096,B,2008-02-10T15:05:00,16.6783,-34.8858,3402,1675845,ANT_XXIV_3,Polarstern_ANT_XXIV_leg3.pdf,ANT_XXIV_leg3 (Zero and Drake),R/V Polarstern,Feb 2008 - Apr 2008,Eberhard Fahrbach,Hein de Baar,5,2,5,2,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,,,9,,,9,1
GIPY05,PS71/097,B,2008-02-11T12:00:00,12.7548,-37.0166,4922,732634,ANT_XXIV_3,Polarstern_ANT_XXIV_leg3.pdf,ANT_XXIV_leg3 (Zero and Drake),R/V Polarstern,Feb 2008 - Apr 2008,Eberhard Fahrbach,Hein de Baar,100.4,2,99.6,2,18.277,1,35.553001,1,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,,,9,,,9,1
GIPY05,PS71/097,B,2008-02-11T12:00:00,12.7548,-37.0166,4922,732634,ANT_XXIV_3,Polarstern_ANT_XXIV_leg3.pdf,ANT_XXIV_leg3 (Zero and Drake),R/V Polarstern,Feb 2008 - Apr 2008,Eberhard Fahrbach,Hein de Baar,101.6,2,100.8,2,18.276,1,35.553001,1,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,0.74,1,,9,,,9,,,9,,9,,9,,,9,,,9,1
GIPY05,PS71/097,B,2008-02-11T12:00:00,12.7548,-37.0166,4922,732634,ANT_XXIV_3,Polarstern_ANT_XXIV_leg3.pdf,ANT_XXIV_leg3 (Zero and Drake),R/V Polarstern,Feb 2008 - Apr 2008,Eberhard Fahrbach,Hein de Baar,101.8,2,101,2,18.267,1,35.551998,1,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,0.31,1,,9,,,9,,,9,,9,,9,,,9,,,9,1
GIPY05,PS71/097,B,2008-02-11T12:00:00,12.7548,-37.0166,4922,732634,ANT_XXIV_3,Polarstern_ANT_XXIV_leg3.pdf,ANT_XXIV_leg3 (Zero and Drake),R/V Polarstern,Feb 2008 - Apr 2008,Eberhard Fahrbach,Hein de Baar,102,2,101.2,2,18.248,1,35.550999,1,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,0.44,1,,9,,,9,,,9,,9,,9,,,9,,,9,1
GIPY05,PS71/097,B,2008-02-11T12:00:00,12.7548,-37.0166,4922,732634,ANT_XXIV_3,Polarstern_ANT_XXIV_leg3.pdf,ANT_XXIV_leg3 (Zero and Drake),R/V Polarstern,Feb 2008 - Apr 2008,Eberhard Fahrbach,Hein de Baar,102.3,2,101.5,2,18.244,1,35.553001,1,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,0.37,1,,9,,,9,,,9,,9,,9,,,9,,,9,1
GIPY05,PS71/097,B,2008-02-11T12:00:00,12.7548,-37.0166,4922,732634,ANT_XXIV_3,Polarstern_ANT_XXIV_leg3.pdf,ANT_XXIV_leg3 (Zero and Drake),R/V Polarstern,Feb 2008 - Apr 2008,Eberhard Fahrbach,Hein de Baar,102.5,2,101.7,2,18.247,1,35.551998,1,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,0.75,1,,9,,,9,,,9,,9,,9,,,9,,,9,1
GIPY05,PS71/097,B,2008-02-11T12:00:00,12.7548,-37.0166,4922,732634,ANT_XXIV_3,Polarstern_ANT_XXIV_leg3.pdf,ANT_XXIV_leg3 (Zero and Drake),R/V Polarstern,Feb 2008 - Apr 2008,Eberhard Fahrbach,Hein de Baar,102.7,2,101.9,2,18.233,1,35.553001,1,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,0.37,1,,9,,,9,,,9,,9,,9,,,9,,,9,1
GIPY05,PS71/097,B,2008-02-11T12:00:00,12.7548,-37.0166,4922,732634,ANT_XXIV_3,Polarstern_ANT_XXIV_leg3.pdf,ANT_XXIV_leg3 (Zero and Drake),R/V Polarstern,Feb 2008 - Apr 2008,Eberhard Fahrbach,Hein de Baar,103.4,2,102.6,2,18.272,1,35.551998,1,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,1.09,1,,9,,,9,,,9,,9,,9,,,9,,,9,1
GIPY05,PS71/097,B,2008-02-11T12:00:00,12.7548,-37.0166,4922,732634,ANT_XXIV_3,Polarstern_ANT_XXIV_leg3.pdf,ANT_XXIV_leg3 (Zero and Drake),R/V Polarstern,Feb 2008 - Apr 2008,Eberhard Fahrbach,Hein de Baar,1020.1,2,1010.1,2,3.959,1,34.244999,1,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,30.17,1,,9,,,9,,,9,,9,,9,,,9,,,9,1
