Station,Latitude,Longitude,Depth,Temperature,Salinity,Nitrate,Iron,Pressure,Ratio,Density
BD04,37.814,143.882,0,28.2,,0.078049,,0.0,,
BD04,37.814,143.882,10,27.984,34.075001,0.029268,,10.1,,21.719953663336128
BD04,37.814,143.882,25,,,,0.195122,25.2,29.84443692777966,
BD04,37.814,143.882,25,24.742,34.5,0.029268,,25.2,,23.049682619926443
BD04,37.814,143.882,41,,,,0.253659,41.3,37.29480260244396,
BD04,37.814,143.882,41,22.344,34.705002,0.341463,,41.3,,23.9025555119033
BD04,37.814,143.882,50,,,,0.331707,50.4,31.281542790130192,
BD04,37.814,143.882,50,21.596,34.752998,1.853659,,50.4,,24.1476589333231
BD04,37.814,143.882,99,,,,0.481854,99.8,32.36988979026842,
BD04,37.814,143.882,99,18.633,34.737999,4.995122,,99.8,,24.919220158065855
BD04,37.814,143.882,149,16.463,34.659,7.346342,,150.2,,25.384389035683398
BD04,37.814,143.882,149,,,,0.496585,150.2,44.911625200116795,
BD04,37.814,143.882,199,13.836,34.5,1.95122,,200.6,,25.841380547881045
BD04,37.814,143.882,199,,,,0.526244,200.6,49.21825807040079,
BD04,37.814,143.882,397,8.835,34.277,25.043903,,400.4,,26.586596820449813
BD04,37.814,143.882,397,,,,0.748293,400.4,50.657084323921254,
BD05,40.8337,150.00101,0,23.8,,0.653659,,0.0,,
BD05,40.8337,150.00101,10,18.046,33.077999,0.22439,,10.1,,23.806097706858168
BD05,40.8337,150.00101,10,,,,0.075805,10.1,52.97288569355583,
BD05,40.8337,150.00101,26,,,,0.09639,26.2,76.4027373912528,
BD05,40.8337,150.00101,26,8.254,32.874001,9.365853,,26.2,,25.57403952552022
BD05,40.8337,150.00101,36,4.242,32.972,14.595122,,36.3,,26.152878609510935
BD05,40.8337,150.00101,38,,,,0.085366,38.3,110.81885450101133,
BD05,40.8337,150.00101,49,,,,0.182244,49.4,56.936342015570965,
BD05,40.8337,150.00101,51,2.092,33.055,21.902439,,51.4,,26.41091728176434
BD05,40.8337,150.00101,99,1.47,33.191002,25.190245,,99.8,,26.56558461062332
BD05,40.8337,150.00101,100,,,,0.34878,100.8,44.72034197775102,
