Cruise,Station,Type,yyyy-mm-ddThh:mm:ss.sss,Longitude [degrees_east],Latitude [degrees_north],Bot. Depth [m],BODC Station,Operator's Cruise Name,Cruise Report,Project Name,Ship Name,Period,Chief Scientist,GEOTRACES Scientist,PRESSURE [dbar],QV:IODE,DEPTH [m],QV:IODE,CTDTMP [deg C],QV:IODE,CTDSAL,QV:IODE,SALINITY_D_CONC_BOTTLE,QV:IODE,SALINITY_D_CONC_PUMP,QV:IODE,SALINITY_D_CONC_FISH,QV:IODE,SALINITY_D_CONC_UWAY,QV:IODE,NITRATE_D_CONC_BOTTLE [umol/kg],STANDARD_DEV,QV:IODE,NITRATE_D_CONC_PUMP [umol/kg],QV:IODE,NITRATE_D_CONC_FISH [umol/kg],QV:IODE,NITRATE_D_CONC_UWAY [umol/kg],QV:IODE,NITRATE_LL_D_CONC_BOTTLE [umol/kg],QV:IODE,NITRATE_LL_D_CONC_FISH [umol/kg],QV:IODE,NO2+NO3_D_CONC_BOTTLE [umol/kg],QV:IODE,NO2+NO3_D_CONC_FISH [umol/kg],QV:IODE,Fe_D_CONC_BOTTLE [nmol/kg],STANDARD_DEV,QV:IODE,Fe_D_CONC_FISH [nmol/kg],STANDARD_DEV,QV:IODE,Fe_II_D_CONC_BOTTLE [nmol/kg],QV:IODE,Fe_II_D_CONC_FISH [nmol/kg],QV:IODE,Fe_S_CONC_BOTTLE [nmol/kg],STANDARD_DEV,QV:IODE,Fe_S_CONC_FISH [nmol/kg],STANDARD_DEV,QV:IODE,QV:ODV:SAMPLE
GP02,BD02,B,2012-08-24T02:26:00,141.453,37.3313,145,1875912,KH12-4,HakuhoMaru_KH12-4.pdf,BIG DIPPER Expedition,R/V Hakuho Maru,Aug - Oct 2012,Toshitaka Gamo,Toshitaka Gamo,0,2,0,2,26.2,1,,9,33.741001,1,,9,,9,,9,,,9,,9,,9,,9,,9,,9,0.039024,1,,9,,,9,,,9,,9,,9,,,9,,,9,1
GP02,BD02,B,2012-08-24T02:26:00,141.453,37.3313,145,1875912,KH12-4,HakuhoMaru_KH12-4.pdf,BIG DIPPER Expedition,R/V Hakuho Maru,Aug - Oct 2012,Toshitaka Gamo,Toshitaka Gamo,10.1,2,10,2,21.398,1,33.764,1,33.772999,1,,9,,9,,9,,,9,,9,,9,,9,,9,,9,0.009756,1,,9,,,9,,,9,,9,,9,,,9,,,9,1
GP02,BD02,B,2012-08-24T02:26:00,141.453,37.3313,145,1875912,KH12-4,HakuhoMaru_KH12-4.pdf,BIG DIPPER Expedition,R/V Hakuho Maru,Aug - Oct 2012,Toshitaka Gamo,Toshitaka Gamo,20.2,2,20,2,20.48,1,33.974998,1,34.034,3,,9,,9,,9,,,9,,9,,9,,9,,9,,9,0.009756,1,,9,,,9,,,9,,9,,9,,,9,,,9,1
GP02,BD02,B,2012-08-24T02:26:00,141.453,37.3313,145,1875912,KH12-4,HakuhoMaru_KH12-4.pdf,BIG DIPPER Expedition,R/V Hakuho Maru,Aug - Oct 2012,Toshitaka Gamo,Toshitaka Gamo,30.2,2,30,2,19.756,1,34.066002,1,34.051998,1,,9,,9,,9,,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,,,9,,,9,1
GP02,BD02,B,2012-08-24T02:26:00,141.453,37.3313,145,1875912,KH12-4,HakuhoMaru_KH12-4.pdf,BIG DIPPER Expedition,R/V Hakuho Maru,Aug - Oct 2012,Toshitaka Gamo,Toshitaka Gamo,49.4,2,49,2,18.692,1,34.040001,1,34.046001,1,,9,,9,,9,,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,,,9,,,9,1
GP02,BD02,B,2012-08-24T02:26:00,141.453,37.3313,145,1875912,KH12-4,HakuhoMaru_KH12-4.pdf,BIG DIPPER Expedition,R/V Hakuho Maru,Aug - Oct 2012,Toshitaka Gamo,Toshitaka Gamo,75.6,2,75,2,15.061,1,34.012001,1,34.049999,3,,9,,9,,9,,,9,,9,,9,,9,,9,,9,2.390244,1,,9,,,9,,,9,,9,,9,,,9,,,9,1
GP02,BD02,B,2012-08-24T02:26:00,141.453,37.3313,145,1875912,KH12-4,HakuhoMaru_KH12-4.pdf,BIG DIPPER Expedition,R/V Hakuho Maru,Aug - Oct 2012,Toshitaka Gamo,Toshitaka Gamo,99.8,2,99,2,10.669,1,34.033001,1,34.025002,1,,9,,9,,9,,,9,,9,,9,,9,,9,,9,7.278049,1,,9,,,9,,,9,,9,,9,,,9,,,9,1
GP02,BD02,B,2012-08-24T02:26:00,141.453,37.3313,145,1875912,KH12-4,HakuhoMaru_KH12-4.pdf,BIG DIPPER Expedition,R/V Hakuho Maru,Aug - Oct 2012,Toshitaka Gamo,Toshitaka Gamo,134,2,133,2,9.499,1,34.043999,1,34.030998,1,,9,,9,,9,,,9,,9,,9,,9,,9,,9,11.307317,1,,9,,,9,,,9,,9,,9,,,9,,,9,1
GP02,BD02,B,2012-08-24T02:26:00,141.453,37.3313,145,1875912,KH12-4,HakuhoMaru_KH12-4.pdf,BIG DIPPER Expedition,R/V Hakuho Maru,Aug - Oct 2012,Toshitaka Gamo,Toshitaka Gamo,135,2,134,2,9.475,1,34.049999,1,34.053001,1,,9,,9,,9,,,9,,9,,9,,9,,9,,9,11.697561,1,,9,,,9,,,9,,9,,9,,,9,,,9,1
GP02,BD03,B,2012-08-24T06:07:59,141.51601,37.5845,130,1875919,KH12-4,HakuhoMaru_KH12-4.pdf,BIG DIPPER Expedition,R/V Hakuho Maru,Aug - Oct 2012,Toshitaka Gamo,Toshitaka Gamo,0,2,0,2,25.7,1,,9,33.730999,1,,9,,9,,9,,,9,,9,,9,,9,,9,,9,0.22439,1,,9,,,9,,,9,,9,,9,,,9,,,9,1
GP02,BD03,B,2012-08-24T06:07:59,141.51601,37.5845,130,1875919,KH12-4,HakuhoMaru_KH12-4.pdf,BIG DIPPER Expedition,R/V Hakuho Maru,Aug - Oct 2012,Toshitaka Gamo,Toshitaka Gamo,10.1,2,10,2,22.819,1,33.625,1,33.620998,1,,9,,9,,9,,,9,,9,,9,,9,,9,,9,0.009756,1,,9,,,9,,,9,,9,,9,,,9,,,9,1
